country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","15-07-2026 16:00:00",25.592539,85.227158,OZONE,41,93,71
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","15-07-2026 16:00:00",25.599486,85.113666,PM2.5,23,57,37
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","15-07-2026 16:00:00",25.599486,85.113666,SO2,2,16,8
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-07-2026 16:00:00",25.619651,85.147382,PM10,77,124,95
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-07-2026 16:00:00",25.619651,85.147382,NO2,3,4,3
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-07-2026 16:00:00",25.619651,85.147382,CO,44,54,48
India,Bihar,Patna,"Muradpur, Patna - BSPCB","15-07-2026 16:00:00",25.619651,85.147382,OZONE,13,92,59
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","15-07-2026 16:00:00",25.610369,85.132568,PM2.5,37,133,67
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","15-07-2026 16:00:00",25.610369,85.132568,PM10,NA,NA,NA
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","15-07-2026 16:00:00",25.586562,85.043586,PM2.5,29,49,39
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","15-07-2026 16:00:00",25.586562,85.043586,SO2,6,7,6
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","15-07-2026 16:00:00",25.366336,87.117468,NH3,NA,NA,NA
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-07-2026 16:00:00",25.0328,85.41948,PM2.5,30,75,47
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-07-2026 16:00:00",25.0328,85.41948,PM10,24,74,43
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-07-2026 16:00:00",25.0328,85.41948,CO,39,48,42
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","15-07-2026 16:00:00",25.892357,86.590325,PM10,3,402,98
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","15-07-2026 16:00:00",25.892357,86.590325,NH3,4,4,4
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","15-07-2026 16:00:00",26.10887,91.589544,PM10,12,55,33
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","15-07-2026 16:00:00",26.349082,92.68449,PM2.5,48,83,64
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","15-07-2026 16:00:00",26.349082,92.68449,SO2,11,15,14
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","15-07-2026 16:00:00",26.446912,91.439057,NO2,14,15,14
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-07-2026 16:00:00",24.82827,92.79525,PM10,50,63,54
India,Assam,Silchar,"Tarapur, Silchar - PCBA","15-07-2026 16:00:00",24.82827,92.79525,NO2,18,21,20
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-07-2026 16:00:00",26.987634,94.636574,PM2.5,15,16,16
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-07-2026 16:00:00",26.987634,94.636574,PM10,20,30,24
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","15-07-2026 16:00:00",26.987634,94.636574,SO2,5,8,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","15-07-2026 16:00:00",26.146529,87.454184,PM2.5,20,25,22
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-07-2026 16:00:00",25.5626095,84.663264,PM10,1,195,60
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-07-2026 16:00:00",25.5626095,84.663264,NO2,6,9,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-07-2026 16:00:00",25.5626095,84.663264,SO2,5,6,5
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","15-07-2026 16:00:00",25.5626095,84.663264,OZONE,5,65,19
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-07-2026 16:00:00",24.75746,84.366208,NO2,7,8,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","15-07-2026 16:00:00",24.75746,84.366208,OZONE,6,7,7
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","15-07-2026 16:00:00",25.42742023,86.13886079,OZONE,37,41,40
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","15-07-2026 16:00:00",26.80365,84.51954,NO2,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","15-07-2026 16:00:00",25.265194,87.012947,OZONE,12,22,16
